truth_direct_effect,ols_direct_effect,cf_direct_effect,truth_indirect_effect,ols_indirect_effect,cf_indirect_effect
1.4432,0.9172702,2.075367,1.290208,1.827412,0.692742848
1.4432,0.9151549,2.042962,1.290208,1.816517,0.686101918
1.4432,0.9003297,2.097231,1.290208,1.845329,0.579265388
1.4432,0.8874102,1.729321,1.290208,1.836573,0.983312848
1.4432,0.8756756,1.32331,1.290208,1.876402,1.368295487
1.4432,0.8377816,1.666195,1.290208,1.896659,1.074216604
1.4432,0.8962645,2.74241,1.290208,1.843945,0.025187726
1.4432,0.8950408,1.485317,1.290208,1.840214,1.223210638
1.4432,0.9141561,1.864366,1.290208,1.83912,0.928010133
1.4432,0.861131,2.317491,1.290208,1.879055,0.454624954
1.4432,0.8689244,1.720115,1.290208,1.89434,1.024917831
1.4432,0.8642655,2.191009,1.290208,1.898816,0.567391151
1.4432,0.8608699,2.032739,1.290208,1.869818,0.682018636
1.4432,0.8673187,2.358734,1.290208,1.859756,0.416843175
1.4432,0.9244681,1.874648,1.290208,1.808801,0.872104884
1.4432,0.8458811,1.764148,1.290208,1.877669,0.93244326
1.4432,0.8710556,2.026875,1.290208,1.878388,0.732108536
1.4432,0.9113297,1.677699,1.290208,1.846736,1.088041716
1.4432,0.8644884,1.823795,1.290208,1.86676,0.951322485
1.4432,0.881304,2.089606,1.290208,1.832796,0.571938246
1.4432,0.8170991,2.380416,1.290208,1.942972,0.382082853
1.4432,0.953364,2.347891,1.290208,1.822483,0.434579199
1.4432,0.9405561,1.871441,1.290208,1.825787,0.915735085
1.4432,0.9195115,1.748003,1.290208,1.817537,0.954843226
1.4432,0.8289362,1.361079,1.290208,1.892685,1.317538787
1.4432,0.9202094,1.801781,1.290208,1.810992,0.951139598
1.4432,0.8699545,2.246001,1.290208,1.854373,0.432952681
1.4432,0.9123872,1.953921,1.290208,1.790688,0.772315151
1.4432,0.8410533,2.054575,1.290208,1.878263,0.675985539
1.4432,0.8782496,1.681431,1.290208,1.863854,1.059180247
1.4432,0.9011993,1.668891,1.290208,1.837204,1.061448128
1.4432,0.8919263,1.618482,1.290208,1.877386,1.11210418
1.4432,0.8853546,2.351677,1.290208,1.845405,0.391284787
1.4432,0.8934684,2.369255,1.290208,1.839877,0.442856388
1.4432,0.8680104,2.244232,1.290208,1.853502,0.475312807
1.4432,0.8800358,1.365609,1.290208,1.864048,1.316979918
1.4432,0.8918007,1.478188,1.290208,1.841591,1.216537944
1.4432,0.87539,2.221199,1.290208,1.848348,0.496295316
1.4432,0.945395,2.237588,1.290208,1.793232,0.45613056
1.4432,0.8461941,1.649549,1.290208,1.901646,1.07345808
1.4432,0.8983359,2.040896,1.290208,1.848362,0.739410639
1.4432,0.9422186,1.844351,1.290208,1.814737,0.913052398
1.4432,0.9070112,2.043532,1.290208,1.847027,0.618181499
1.4432,0.8328993,1.472669,1.290208,1.872987,1.188411811
1.4432,0.887553,1.966045,1.290208,1.85286,0.746590124
1.4432,0.9246606,1.880179,1.290208,1.827131,0.846979517
1.4432,0.9206883,1.638837,1.290208,1.823586,1.073763243
1.4432,0.9152168,1.752357,1.290208,1.841153,0.962545347
1.4432,0.84592,2.104891,1.290208,1.889185,0.68386971
1.4432,0.8339791,1.678404,1.290208,1.92213,1.07197208
1.4432,0.8957114,1.542086,1.290208,1.847326,1.156040015
1.4432,0.8837712,2.132424,1.290208,1.84243,0.626437101
1.4432,0.8451826,1.581808,1.290208,1.875043,1.065093302
1.4432,0.881584,2.120253,1.290208,1.853483,0.637916033
1.4432,0.8678721,1.940308,1.290208,1.90659,0.805975969
1.4432,0.9002756,1.792752,1.290208,1.85334,0.943395018
1.4432,0.8990538,1.859,1.290208,1.843146,0.901711863
1.4432,0.8845389,2.229965,1.290208,1.83377,0.450693036
1.4432,0.8829582,1.999756,1.290208,1.847525,0.757196204
1.4432,0.8871375,2.042471,1.290208,1.832474,0.702456983
1.4432,0.8646878,2.056921,1.290208,1.854173,0.609442612
1.4432,0.8646533,2.083363,1.290208,1.87644,0.657218211
1.4432,0.9180141,2.155285,1.290208,1.832085,0.617011238
1.4432,0.8859724,1.542602,1.290208,1.838684,1.147303023
1.4432,0.8342518,1.535531,1.290208,1.878547,1.155890612
1.4432,0.9013606,1.540529,1.290208,1.859391,1.215365062
1.4432,0.8876499,1.790166,1.290208,1.863518,0.919143808
1.4432,0.8657926,1.779727,1.290208,1.866357,0.964096663
1.4432,0.8419805,1.709206,1.290208,1.898169,0.971285606
1.4432,0.8203957,1.540867,1.290208,1.926336,1.181183544
1.4432,0.8774881,1.855258,1.290208,1.863442,0.888063946
1.4432,0.8766764,2.141327,1.290208,1.840917,0.59253088
1.4432,0.8999803,1.466877,1.290208,1.836882,1.225127181
1.4432,0.8833941,1.810167,1.290208,1.870478,0.910735434
