truth_total_effect,ols_total_effect,truth_direct_effect,ols_direct_effect,heckit_direct_effect,cf_direct_effect,truth_indirect_effect,ols_indirect_effect,heckit_indirect_effect,cf_indirect_effect
2.6102515295314626,2.6215349732443998,1.405,0.9409111627268799,1.4225319673291978,1.5672867496162897,1.2212515295314625,1.705379138347889,1.2116629489545478,1.05424822362811
2.6155568943811214,2.5174158881621986,1.384,0.880535495067033,1.205566632450664,1.0476572331325533,1.2195568943811215,1.6708135982257017,1.3258223367811588,1.4697586550296453
2.5655815840125755,2.6025318179898598,1.392,0.8644921776082568,1.1612201135681812,1.4267578278488786,1.1885815840125757,1.7401857371255534,1.4581332592756517,1.1757739901409812
2.655180385212356,2.625996469656882,1.388,1.014730593016286,1.5726335917794425,1.4931092945543218,1.2621803852123559,1.6068580698627786,1.0428028484326761,1.1328871751025602
2.606837702151781,2.6988406957158224,1.36,1.048084391559969,1.5172048432763552,1.7630553096679735,1.2248377021517807,1.6470314755268578,1.170931172090684,0.9357853860478489
2.5363006036977045,2.5723521713804787,1.361,1.1172186392940213,1.6105510856271126,1.4348249497888022,1.1633006036977045,1.4500180427661342,0.9419268096761305,1.1375272215916765
2.5765470191000586,2.52658659104672,1.388,0.7450439197544685,1.0909048053680321,1.1972963773195415,1.2175470191000586,1.7870495191628588,1.448675130599514,1.3292902137271785
2.6118894372256385,2.4900399523438663,1.387,0.6523368903559741,1.1331574569330547,1.285130037007411,1.2488894372256387,1.8202470083502729,1.3537017645247797,1.2049099153364553
2.564832790129083,2.5487205605142504,1.373,0.7511088533782321,1.2224943665734698,0.8022258790431274,1.168832790129083,1.8003076980129467,1.3155033254761017,1.746494681471123
2.581114982665331,2.5343173722291326,1.387,0.9132543955689653,1.2514125445258797,1.2789474065324393,1.2041149826653306,1.645451732953817,1.3092551415903388,1.2553699656966932
2.5859639965604533,2.531738390160655,1.379,0.9352970052710801,1.5574228813462871,1.6155047386445955,1.2159639965604534,1.568058698000975,0.9951711765557738,0.9162336515160596
2.660358866219613,2.503744012732211,1.394,0.7678430487216515,1.220142373928155,0.9458258490515441,1.280358866219613,1.7370833157972958,1.308304832921605,1.557918163680667
2.5963502348860525,2.458496160325975,1.355,0.8962682082164931,1.5454614726752347,1.9118920566685744,1.2153502348860528,1.5621131464251774,0.8634974214612501,0.5466041036574005
2.5266493125151523,2.527032809149277,1.369,0.8285099288866662,1.4397134072139792,1.300690274626782,1.1446493125151525,1.7041593668027968,1.0859970049160579,1.226342534522495
2.5405535055603035,2.5685939317174746,1.3719999999999999,1.0199911347747563,1.5557635529131115,1.503595823184313,1.1795535055603037,1.529732469316166,1.0118380903696225,1.0649981085331617
2.6017428771740323,2.629662714665285,1.397,0.9507444522894289,1.3308780391866468,1.3444561980157537,1.2137428771740322,1.675209346850421,1.287506687314004,1.2852065166495312
2.68673613006653,2.5502723969392367,1.407,0.9751903008990485,1.529273618694284,1.649152267660262,1.3117361300665296,1.5829885660627536,1.0326984408886684,0.9011201292789748
2.646718176411363,2.679931243145176,1.396,1.0158365063507815,1.5047108424468087,1.4183698723156954,1.2647181764113633,1.6550384048724982,1.2098014480590957,1.2615613708294804
2.661023762197458,2.9007388452867424,1.368,1.1098915761889916,1.6829824506557904,1.578624660212836,1.2650237621974583,1.795275132923747,1.2026376322635237,1.3221141850739064
2.5863780593930743,2.505092524538142,1.3699999999999999,0.7858303780155348,1.6895915532685473,1.7514580411190224,1.2043780593930742,1.747289313463137,0.8177702955133197,0.7536344834191198
2.538280057093306,2.455160725885343,1.387,0.9229222982851872,1.486522089054539,1.3175309210312536,1.1762800570933059,1.529103270481581,0.9823189299779871,1.1376298048540896
2.571586337856456,2.495816309546116,1.358,0.8637070006814609,1.332986106508116,1.549942227130479,1.180586337856456,1.6282362059843256,1.1595329610091358,0.9458740824156369
2.5867806322366764,2.521800038160556,1.357,0.9579323214450236,1.2566344806946383,1.132116529739549,1.1997806322366764,1.5747238467016762,1.2474417030655651,1.3896835084210069
2.5470442676505543,2.5271746305907055,1.375,0.8496285213604025,1.3666298497143001,1.382064395741949,1.1770442676505544,1.6871695779520948,1.1563132195454269,1.1451102348487565
2.6285585272948877,2.569437482352422,1.375,0.9272573895468545,1.3982134414144989,1.9027232045409854,1.2245585272948878,1.652519283069908,1.159267383201635,0.6667142778114368
2.5981902926419136,2.4827807058319435,1.377,0.8078880067170437,1.3494245531111961,1.3416039031252929,1.2191902926419136,1.6689172210172707,1.1364396156155967,1.1411768027066507
2.567408704756276,2.5893631168133724,1.388,0.9890561562526572,1.4934478119781458,1.6866442928866283,1.1954087047562758,1.5908866082105273,1.1132758206042077,0.9027188239267441
2.6170215284135696,2.6793923330043206,1.377,1.0947246727461921,1.2359027156288311,1.269456977419991,1.2370215284135695,1.5804153493987505,1.430478214639894,1.4099353555843295
2.679703558510286,2.6415728455011225,1.403,0.9747697619080683,1.8369477455723386,1.7490645665984406,1.3157035585102859,1.660991265517018,0.878724059211421,0.8925082789026819
2.575925833452596,2.568849325315261,1.367,0.9719422960025176,1.7054903638404006,1.564677854240734,1.178925833452596,1.6202841621575437,0.8396974153911405,1.004171471074527
2.526752587382836,2.5519650881315687,1.3800000000000001,0.9750752207879059,1.1771968702482773,1.2441090313489518,1.1667525873828357,1.563665092899874,1.402900092940423,1.307856056782617
2.559952348252489,2.5815010832465526,1.3739999999999999,0.8858040729282943,1.3428868061590131,1.1489386213140056,1.1959523482524892,1.6716902621056706,1.2229907066685075,1.432562461932547
